Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,7.75818,5.605408722,"[""space""]",[3.3355850000007194],space,0.563195,0,0,0,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,2.639344165,,,space,0.252435,1,0,1,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,6.365668788,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.167170000000624,0.7337750000006054,1.1836849999963306,2.1174449999962235,2.3506649999981164,3.2866099999955622,3.584304999996675,3.8205249999955413,4.10055999999895,4.521804999996675,5.019099999997707,5.233544999995502,5.685249999994994,5.9173549999977695]",space,0.28409,2,0,2,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,4.785292482,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[1.7013299999962328,1.9508249999998952,2.38398999999481,2.620489999993879,3.1171699999977136,3.303619999998773,3.7879749999992782,4.019639999998617]",space,0.239005,3,0,3,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,5.369981436,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.11758999999437947,0.5556499999947846,0.7871349999986705,1.0175149999995483,1.250434999994468,1.5004750000007334,1.7193149999948218,1.9497950000004494,2.150709999994433,2.3505999999979394,2.533789999994042,2.7172999999966123,3.084369999996852,3.2836849999948754,3.48713499999576,3.7678299999970477,3.950809999994817,4.150864999995974,4.338904999996885,4.550939999993716,4.750849999996717,4.950294999995094,5.157069999993837]",space,0.2031,4,0,4,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,7.582040868,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.1837050000031013,0.43396999999822583,0.6826450000007753,0.9007649999985006,1.1195799999986775,1.3667399999976624,1.6006849999976112,1.8202200000014273,2.033609999998589,2.2668699999994715,2.485869999996794,2.7162499999976717,2.9372999999977765,3.150340000000142,3.350720000002184,3.5561349999989034,3.7503149999974994,3.9378950000027544,4.118679999999586,4.3051049999994575,4.487704999999551,4.672375000001921,4.868605000003299,5.050389999996696,5.233775000000605,5.41846500000247,5.600765000002866,5.787049999998999,5.987135000003036,6.166729999997187,6.350579999998445,6.550454999996873,6.7513400000025285,6.966639999998733,7.149499999999534,7.3502450000014505,7.554714999998396]",space,0.16969,5,0,5,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,3.518701969,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.04914999999891734,0.2829649999985122,0.4690699999991921,0.683389999998326,0.8821349999998347,1.1011799999978393,1.3187550000002375,1.537529999994149,1.7667699999947217,1.9995449999987613,2.2000649999972666,2.3833249999952386,2.5658299999995506,2.7729249999974854,2.9995749999943655,3.216739999996207,3.3990799999955925]",space,0.099935,6,0,6,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,9.736294188,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.05151499999919906,0.25050999999803025,0.4678399999975227,0.6845699999976205,0.8845599999986007,1.0841999999975087,1.3002699999997276,1.5176999999966938,1.7344349999984843,1.9350199999971665,2.134200000000419,2.337714999994205,2.551079999997455,2.76784499999485,2.95649499999854,3.167409999994561,3.3668949999992037,3.584339999993972,3.7704949999970268,3.984359999994922,4.172054999995453,4.384879999997793,4.617679999995744,4.854559999999765,5.073739999999816,5.301229999997304,5.503784999993513,5.71762999999919,5.934750000000349,6.170539999999164,6.40251499999431,6.617954999994254,6.834189999994123,7.050934999999299,7.267634999996517,7.520529999994324,7.784399999996822,8.02127499999915,8.251149999996414,8.452764999994542,8.840149999996356,9.068409999999858,9.317514999995183,9.540134999995644]",space,0.03902,7,0,7,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,6.431097167,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[0.02530000000115251,0.28434500000003027,0.5344750000003842,0.7843749999956344,1.0676299999977346,1.5534199999965494,1.7862549999990733,2.0511249999981374,2.301455000000715,2.554165000001376,2.8180999999967753,3.088530000000901,3.338595000001078,3.6006999999954132,3.8547249999974156,4.086484999999811,4.334374999998545,4.601004999996803,4.86757999999827,5.12187499999709,5.3887699999977485,5.61788499999966,5.817749999994703,6.034609999995155,6.254074999997101]",space,0.050445,8,0,8,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
,,6.452981657,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]","[3.5372150000039255,3.7504450000051293,3.9349399999991874,4.115989999998419,4.3008650000047055,4.487505000004603,4.666165000002366,4.833610000001499,5.003725000002305,5.199939999998605,5.369024999999965,5.550085000002582,5.7337249999982305,5.918150000004971,6.100350000000617,6.283710000003339]",space,0.01824,9,0,9,0,1,AT55010,2,2020-05-16_10h25.48.561,PVT builder,2020.1.3,MacIntel,60
