Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate
space,6.849315,3.531984398,,space,0.631795,0,0,0,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,3.881563342,,space,0.555445,1,0,1,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,3.741018929,,space,0.57206,2,0,2,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,7.894138726,,space,0.38565,3,0,3,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,5.927800006,,space,0.531515,4,0,4,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,9.385978042,,space,0.435615,5,0,5,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,8.939199397,,space,0.43768,6,0,6,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,5.654735428,,space,0.61523,7,0,7,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,4.509198933,,space,0.388815,8,0,8,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,7.93135773,,space,0.452595,9,0,9,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,7.184500698,,space,1.0697,10,0,10,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,5.747593464,,space,0.50505,11,0,11,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
,,7.406145243,,space,0.336315,12,0,12,0,1,NS40990,2,2020-05-18_17h28.38.861,PVT builder,2020.1.3,Win32,60
