Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,1.540415,6.530808646,,space,0.28741,0,0,0,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,7.113052153,,space,0.28414,1,0,1,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,5.446715063,,space,0.27651,2,0,2,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,5.341723485,,space,0.269255,3,0,3,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,4.76769132,,space,0.25444,4,0,4,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.264160998,,space,0.250735,5,0,5,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.802941241,,space,0.26776,6,0,6,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.153788746,,space,0.26207,7,0,7,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.398115936,,space,0.25102,8,0,8,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,4.310266277,,space,0.26964,9,0,9,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.826252215,,space,0.253235,10,0,10,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,5.181910505,,space,0.251575,11,0,11,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.135879691,,space,0.26723,12,0,12,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.359623842,,space,0.304765,13,0,13,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.898188024,,space,0.253525,14,0,14,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,8.446637998,,space,0.259945,15,0,15,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,4.18898425,,space,0.259065,16,0,16,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,8.364880049,,space,0.25774,17,0,17,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.315288647,,space,0.31972,18,0,18,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,3.598491224,,space,0.269195,19,0,19,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,9.816814065,,space,0.27274,20,0,20,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.736565745,,space,0.29578,21,0,21,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,4.782141816,,space,0.258985,22,0,22,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.383773705,,space,0.28452,23,0,23,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.482885643,,space,0.251275,24,0,24,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,8.159660738,,space,0.27165,25,0,25,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.509913262,,space,0.254705,26,0,26,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,9.713237234,,space,0.26174,27,0,27,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,3.728234795,,space,0.27655,28,0,28,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.45804803,,space,0.268165,29,0,29,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.418454572,,space,0.317835,30,0,30,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,6.113303799,,space,0.276275,31,0,31,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,3.115010672,,space,0.27145,32,0,32,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,7.029156392,,space,0.25305,33,0,33,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,2.515701773,,space,0.290015,34,0,34,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,3.17303821,,space,0.26832,35,0,35,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,7.610353403,,space,0.2408,36,0,36,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,3.84814684,,space,0.267795,37,0,37,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
,,5.914645533,,space,0.25467,38,0,38,0,1,,1,2020-05-24_02h57.46.447,PVT builder,2020.1.3,Win32,60,
