Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,key_resp.rt,trials.order
space,3.80001,8.013805451,,space,36.32898,0,0,0,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,2.330990373,,space,0.932505,1,0,1,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,4.815762601,"[""space""]",space,0.5533,2,0,2,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,[4.418369999999413],
,,5.703845223,"[""space"",""space"",""space"",""space"",""space""]",space,0.16837,3,0,3,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,"[2.5671949999814387,3.8846250000060536,4.906984999979613,5.40585499998997,5.64002999998047]",
,,3.546267386,"[""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space"",""space""]",space,0.57515,4,0,4,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,"[0.0847100000246428,0.28505500001483597,0.46938500000396743,0.6212650000234134,0.7679599999974016,0.9183500000217464,1.0849549999984447,1.2346600000164472,1.4349150000198279,1.6013050000183284,1.7843400000128895,1.9676650000037625,2.151320000004489]",
,,7.555802218,"[""space""]",space,0.118685,5,0,5,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,[2.7995799999916926],
,,7.712988958,,space,0.368075,6,0,6,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,2.95965908,,space,0.402595,7,0,7,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,2.013743133,,space,0.282035,8,0,8,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,7.162008163,"[""space"",""space"",""space""]",space,0.285025,9,0,9,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,"[0.23462499998277053,4.534894999989774,4.967789999995148]",
,,9.759478333,"[""space""]",space,0.266025,10,0,10,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,[4.817219999997178],
,,3.325801752,,space,0.316755,11,0,11,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,5.606054411,,space,0.302015,12,0,12,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,2.452103553,,space,0.28619,13,0,13,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,9.789189416,"[""space""]",space,0.4017,14,0,14,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,[2.654785000020638],
,,8.478599778,,space,0.368885,15,0,15,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,4.378932257,,space,0.384385,16,0,16,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,2.737293093,,space,0.28572,17,0,17,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,6.396147129,"[""space""]",space,0.38577,18,0,18,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,[5.134840000013355],
,,7.209219513,,space,0.335915,19,0,19,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,9.172530159,,space,0.28276,20,0,20,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,5.501734004,,space,0.484315,21,0,21,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,3.502754344,,space,0.6026,22,0,22,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,4.552577161,,space,0.452245,23,0,23,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,
,,7.383519331,,,,100,0,100,0,1,CSB15449,1,2020-05-27_14h51.59.450,PVT builder,2020.1.3,MacIntel,60,,99
