Start.keys,Start.rt,Interval_stimulus,key_resp.keys,key_resp.rt,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,"Participant ID (Your initials and the last 5 digits of your phone number, example: JS45323)",Session,date,expName,psychopyVersion,OS,frameRate,trials.order
space,1.19369,7.965530345,"[""z"",""x"",""N/A""]","[4.284155000001192,4.524955000029877,5.734139999956824]",space,1.289845,0,0,0,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,3.536211896,,,space,0.35763,1,0,1,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.466765806,,,space,0.23514,2,0,2,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,4.867749541,,,space,0.300445,3,0,3,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.480335868,,,space,0.24997,4,0,4,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,8.792856594,,,space,0.37699,5,0,5,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,4.550514382,,,space,0.23479,6,0,6,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.52632693,,,space,0.326965,7,0,7,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.942967754,,,space,0.250525,8,0,8,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.212249125,,,space,0.265955,9,0,9,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.196258633,,,space,0.244275,10,0,10,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.8626515,,,space,0.26784,11,0,11,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,3.799465034,,,space,0.27378,12,0,12,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,4.720815282,"[""space"",""space""]","[4.051869999966584,4.341630000039004]",space,0.11298,13,0,13,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.606819179,"[""space""]",[1.707289999932982],space,0.256615,14,0,14,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.565078996,"[""space""]",[6.7402700000675395],space,0.24239,15,0,15,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.473040477,,,space,0.25562,16,0,16,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.555944205,,,space,3.66022,17,0,17,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.683354762,,,space,0.30144,18,0,18,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,6.245441947,"[""N/A""]",[1.7460650000721216],space,0.27526,19,0,19,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.160548103,"[""N/A""]",[1.4509799999650568],space,0.25477,20,0,20,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.420297494,"[""N/A""]",[1.9081749999895692],space,0.3213,21,0,21,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.672745098,,,space,0.791475,22,0,22,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.22252974,,,space,0.33426,23,0,23,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.229208124,,,space,0.28978,24,0,24,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.861256146,,,space,0.510325,25,0,25,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.056327001,,,space,0.69354,26,0,26,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,4.494035025,,,space,0.25185,27,0,27,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,4.79193433,,,space,0.279985,28,0,28,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,5.146788211,,,space,0.276585,29,0,29,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,3.949438564,,,space,0.29284,30,0,30,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,2.117396166,,,space,0.4371,31,0,31,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,6.843284049,,,space,0.253745,32,0,32,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,
,,7.180985053,,,,,100,0,100,0,1,,1,2020-06-12_18h17.09.106,PVT builder,2020.1.3,Linux x86_64,60,99
