Start.keys,Start.rt,Interval_stimulus,key_resp.keys,Response.keys,Response.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,id,session,completion_token,date,expName,psychopyVersion,OS,frameRate,key_resp.rt
space,5.73012,4.291298378,,space,0.35664,0,0,0,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,5.060142233,,space,0.535615,1,0,1,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,8.982203565,,space,0.299135,2,0,2,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,6.954654784,,space,0.399955,3,0,3,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,8.378263259,,space,0.483615,4,0,4,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,4.87728471,"[""space""]",space,0.449715,5,0,5,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,[4.568060000005062]
,,8.611827958,,space,0.435705,6,0,6,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,6.219957746,,space,0.315135,7,0,7,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,8.433693664,"[""space""]",space,0.284855,8,0,8,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,[7.624110000004293]
,,3.335729272,,space,0.438175,9,0,9,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,6.921871955,"[""space""]",space,0.26793,10,0,10,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,[4.000774999993155]
,,5.793980842,,space,0.332565,11,0,11,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,7.691016443,,space,0.28547,12,0,12,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,
,,3.617025351,"[""space""]",space,0.31907,13,0,13,0,1,57300,2,09C312DC-1FE5-4123-B023-6B3D15D27FD9,2021-03-15_13h49.28.815,PVT builder,2020.1.3,MacIntel,60,[2.4333600000099977]
